Date,Country,Infected,Recovered,Deaths,Susceptible
1/22/2020,Nepal,0,0,0,288300000
1/23/2020,Nepal,0,0,0,288300000
1/24/2020,Nepal,0,0,0,288300000
1/25/2020,Nepal,1,0,0,288299999
1/26/2020,Nepal,1,0,0,288299999
1/27/2020,Nepal,1,0,0,288299999
1/28/2020,Nepal,1,0,0,288299999
1/29/2020,Nepal,1,0,0,288299999
1/30/2020,Nepal,1,0,0,288299999
1/31/2020,Nepal,1,0,0,288299999
2/1/2020,Nepal,1,0,0,288299999
2/2/2020,Nepal,1,0,0,288299999
2/3/2020,Nepal,1,0,0,288299999
2/4/2020,Nepal,1,0,0,288299999
2/5/2020,Nepal,1,0,0,288299999
2/6/2020,Nepal,1,0,0,288299999
2/7/2020,Nepal,1,0,0,288299999
2/8/2020,Nepal,1,0,0,288299999
2/9/2020,Nepal,1,0,0,288299999
2/10/2020,Nepal,1,0,0,288299999
2/11/2020,Nepal,1,0,0,288299999
2/12/2020,Nepal,1,1,0,288299998
2/13/2020,Nepal,1,1,0,288299998
2/14/2020,Nepal,1,1,0,288299998
2/15/2020,Nepal,1,1,0,288299998
2/16/2020,Nepal,1,1,0,288299998
2/17/2020,Nepal,1,1,0,288299998
2/18/2020,Nepal,1,1,0,288299998
2/19/2020,Nepal,1,1,0,288299998
2/20/2020,Nepal,1,1,0,288299998
2/21/2020,Nepal,1,1,0,288299998
2/22/2020,Nepal,1,1,0,288299998
2/23/2020,Nepal,1,1,0,288299998
2/24/2020,Nepal,1,1,0,288299998
2/25/2020,Nepal,1,1,0,288299998
2/26/2020,Nepal,1,1,0,288299998
2/27/2020,Nepal,1,1,0,288299998
2/28/2020,Nepal,1,1,0,288299998
2/29/2020,Nepal,1,1,0,288299998
3/1/2020,Nepal,1,1,0,288299998
3/2/2020,Nepal,1,1,0,288299998
3/3/2020,Nepal,1,1,0,288299998
3/4/2020,Nepal,1,1,0,288299998
3/5/2020,Nepal,1,1,0,288299998
3/6/2020,Nepal,1,1,0,288299998
3/7/2020,Nepal,1,1,0,288299998
3/8/2020,Nepal,1,1,0,288299998
3/9/2020,Nepal,1,1,0,288299998
3/10/2020,Nepal,1,1,0,288299998
3/11/2020,Nepal,1,1,0,288299998
3/12/2020,Nepal,1,1,0,288299998
3/13/2020,Nepal,1,1,0,288299998
3/14/2020,Nepal,1,1,0,288299998
3/15/2020,Nepal,1,1,0,288299998
3/16/2020,Nepal,1,1,0,288299998
3/17/2020,Nepal,1,1,0,288299998
3/18/2020,Nepal,1,1,0,288299998
